Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,TXN_Prefix,TXN_Number
Txn_3748616,Coffee,2,2,4,Credit Card,In-Store,2023-12-09,TXN,3748616
Txn_1993289,Sandwich,2,4,8,Not Provided,In-Store,2023-04-18,TXN,1993289
Txn_2123367,Cookie,2,1,2,Not Provided,Not Provided,2023-11-07,TXN,2123367
Txn_5266394,Cake,3,3,9,Cash,In-Store,2023-10-28,TXN,5266394
Txn_5107946,Cake,4,3,12,Credit Card,Not Provided,2023-12-22,TXN,5107946
Txn_8035512,Tea,3,1.5,4.5,Cash,Not Provided,2023-10-29,TXN,8035512
Txn_8718498,Cake,5,3,15,Credit Card,Not Provided,2023-04-30,TXN,8718498
Txn_3955361,Cookie,5,1,5,Not Provided,Takeaway,2023-04-02,TXN,3955361
Txn_9487821,Not Provided,1,5,5,Digital Wallet,Takeaway,2023-05-24,TXN,9487821
Txn_4132730,Not Provided,5,1,5,Not Provided,In-Store,2023-03-12,TXN,4132730
Txn_8976658,Tea,2,1.5,3,Credit Card,In-Store,2023-08-16,TXN,8976658
Txn_5455936,Not Provided,5,3,15,Not Provided,In-Store,2023-10-28,TXN,5455936
Txn_2725602,Juice,5,3,15,Credit Card,Not Provided,2023-09-10,TXN,2725602
Txn_3011323,Coffee,3,2,6,Credit Card,Not Provided,2023-03-07,TXN,3011323
Txn_6289610,Juice,3,3,,Cash,Takeaway,2023-08-07,TXN,6289610
Txn_8268061,Salad,3,5,15,Not Provided,Takeaway,2023-08-20,TXN,8268061
Txn_5220895,Salad,5,5,25,Cash,In-Store,2023-06-10,TXN,5220895
Txn_3085509,Coffee,4,2,8,Digital Wallet,In-Store,2023-04-15,TXN,3085509
Txn_9999113,Juice,4,3,12,Cash,Takeaway,2023-05-27,TXN,9999113
Txn_8779771,Coffee,4,2,8,Cash,In-Store,2023-07-25,TXN,8779771
Txn_9517146,Not Provided,5,5,25,Cash,Takeaway,2023-10-30,TXN,9517146
Txn_1621920,Salad,3,5,15,Not Provided,Takeaway,2023-10-28,TXN,1621920
Txn_3808639,Juice,2,3,6,Digital Wallet,Takeaway,2023-12-15,TXN,3808639
Txn_7028009,Cake,4,3,12,Not Provided,Takeaway,Date Not Recorded,TXN,7028009
Txn_7447872,Juice,2,3,6,Not Provided,Not Provided,Date Not Recorded,TXN,7447872
Txn_6955416,Salad,4,5,20,Not Provided,In-Store,2023-02-25,TXN,6955416
Txn_3775339,Cookie,3,1,3,Credit Card,Not Provided,2023-04-03,TXN,3775339
Txn_9547091,Cookie,3,1,3,Credit Card,Not Provided,2023-10-08,TXN,9547091
Txn_4358673,Cookie,5,1,5,Digital Wallet,Takeaway,2023-12-28,TXN,4358673
Txn_4174591,Tea,4,1.5,6,Digital Wallet,Not Provided,2023-08-30,TXN,4174591
Txn_3398520,Sandwich,1,4,4,Not Provided,In-Store,2023-02-03,TXN,3398520
Txn_6171384,Smoothie,2,4,8,Credit Card,Not Provided,2023-09-12,TXN,6171384
Txn_2530938,Smoothie,5,4,20,Not Provided,Takeaway,2023-04-27,TXN,2530938
Txn_3314971,Juice,3,3,9,Digital Wallet,Not Provided,2023-05-04,TXN,3314971
Txn_3092382,Coffee,5,2,10,Digital Wallet,Not Provided,2023-02-21,TXN,3092382
Txn_1001832,Salad,2,5,10,Cash,Takeaway,Date Not Recorded,TXN,1001832
Txn_1535311,Juice,3,3,9,Cash,Not Provided,2023-03-16,TXN,1535311
Txn_2148617,Juice,3,3,9,Digital Wallet,Not Provided,2023-01-10,TXN,2148617
Txn_4633784,Not Provided,5,3,15,Not Provided,In-Store,2023-02-06,TXN,4633784
Txn_4368416,Salad,2,5,10,Credit Card,Takeaway,2023-02-24,TXN,4368416
Txn_9790731,Cake,2,3,6,Not Provided,Not Provided,2023-06-02,TXN,9790731
Txn_9339456,Coffee,3,2,6,Not Provided,Takeaway,2023-03-29,TXN,9339456
Txn_5179020,Cake,2,3,6,Not Provided,Takeaway,2023-06-18,TXN,5179020
Txn_6258471,Coffee,5,2,10,Digital Wallet,In-Store,2023-09-23,TXN,6258471
Txn_7945375,Juice,3,3,9,Not Provided,Not Provided,2023-01-14,TXN,7945375
Txn_4685453,Tea,4,1.5,6,Cash,In-Store,2023-09-14,TXN,4685453
Txn_9646452,Juice,5,3,15,Credit Card,Not Provided,2023-09-16,TXN,9646452
Txn_9096052,Smoothie,4,4,16,Credit Card,Takeaway,2023-12-28,TXN,9096052
Txn_5916991,Juice,2,3,6,Digital Wallet,Takeaway,2023-02-06,TXN,5916991
Txn_3407169,Sandwich,2,4,8,Cash,In-Store,2023-03-11,TXN,3407169
Txn_2277042,Tea,1,1.5,1.5,Cash,Not Provided,2023-04-08,TXN,2277042
Txn_9273729,Tea,1,1.5,1.5,Not Provided,Not Provided,2023-12-19,TXN,9273729
Txn_2181545,Juice,4,3,12,Credit Card,Takeaway,2023-07-14,TXN,2181545
Txn_1150033,Juice,5,3,15,Cash,In-Store,2023-04-18,TXN,1150033
Txn_1443912,Juice,2,3,6,Not Provided,Not Provided,2023-06-08,TXN,1443912
Txn_8700451,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-12-12,TXN,8700451
Txn_6380550,Coffee,5,2,10,Cash,In-Store,2023-01-05,TXN,6380550
Txn_4885518,Salad,3,5,15,Credit Card,In-Store,2023-06-10,TXN,4885518
Txn_3972167,Sandwich,5,4,20,Not Provided,In-Store,2023-01-23,TXN,3972167
Txn_4878378,Tea,1,1.5,1.5,Credit Card,Not Provided,2023-02-20,TXN,4878378
Txn_2484241,Cake,3,3,9,Digital Wallet,Not Provided,2023-07-19,TXN,2484241
Txn_2368126,Cake,5,3,15,Not Provided,In-Store,2023-12-06,TXN,2368126
Txn_7943008,Coffee,1,2,2,Credit Card,Not Provided,Date Not Recorded,TXN,7943008
Txn_8495063,Juice,1,3,,Cash,Not Provided,2023-05-31,TXN,8495063
Txn_4811133,Salad,2,5,10,Cash,Not Provided,2023-08-11,TXN,4811133
Txn_8729570,Tea,5,1.5,7.5,Not Provided,In-Store,2023-09-03,TXN,8729570
Txn_7623634,Cake,2,3,6,Credit Card,In-Store,2023-07-11,TXN,7623634
Txn_9336980,Salad,4,5,20,Cash,In-Store,2023-06-06,TXN,9336980
Txn_3424331,Cake,4,3,12,Not Provided,Not Provided,2023-01-18,TXN,3424331
Txn_5072031,Cake,2,3,6,Cash,Takeaway,2023-03-23,TXN,5072031
Txn_8687151,Salad,5,5,25,Cash,Not Provided,2023-06-10,TXN,8687151
Txn_4031509,Not Provided,4,3,16,Credit Card,Takeaway,2023-01-04,TXN,4031509
Txn_5265095,Coffee,1,2,2,Not Provided,Not Provided,2023-06-23,TXN,5265095
Txn_6541415,Not Provided,3,3,12,Cash,In-Store,2023-11-25,TXN,6541415
Txn_4108138,Coffee,5,2,10,Cash,Not Provided,2023-08-03,TXN,4108138
Txn_1909796,Smoothie,2,4,8,Not Provided,Takeaway,2023-07-12,TXN,1909796
Txn_1928241,Coffee,3,2,6,Cash,In-Store,2023-04-30,TXN,1928241
Txn_4283157,Salad,5,5,25,Digital Wallet,In-Store,2023-11-25,TXN,4283157
Txn_8013032,Coffee,2,2,4,Credit Card,Not Provided,2023-03-07,TXN,8013032
Txn_8301424,Juice,2,3,6,Not Provided,Not Provided,2023-06-27,TXN,8301424
Txn_1093800,Sandwich,3,4,12,Cash,Takeaway,Date Not Recorded,TXN,1093800
Txn_7965998,Juice,1,3,3,Credit Card,In-Store,2023-11-02,TXN,7965998
Txn_9238666,Cookie,1,1,1,Not Provided,Takeaway,2023-07-31,TXN,9238666
Txn_1631695,Tea,2,1.5,3,Not Provided,In-Store,2023-09-19,TXN,1631695
Txn_1435086,Cake,5,3,15,Not Provided,Not Provided,2023-02-09,TXN,1435086
Txn_3226832,Not Provided,5,4,20,Cash,Not Provided,2023-09-04,TXN,3226832
Txn_1648671,Sandwich,3,4,12,Cash,Takeaway,2023-05-21,TXN,1648671
Txn_4062737,Cake,3,3,9,Cash,In-Store,2023-07-02,TXN,4062737
Txn_3494565,Not Provided,2,4,8,Not Provided,Not Provided,2023-07-10,TXN,3494565
Txn_9249507,Cookie,4,1,4,Credit Card,In-Store,2023-11-21,TXN,9249507
Txn_4689500,Sandwich,4,4,16,Not Provided,Not Provided,2023-12-02,TXN,4689500
Txn_8989148,Tea,2,1.5,3,Not Provided,Not Provided,2023-11-25,TXN,8989148
Txn_8316826,Coffee,3,2,6,Not Provided,In-Store,2023-04-17,TXN,8316826
Txn_9836934,Cookie,3,1,3,Digital Wallet,In-Store,2023-03-13,TXN,9836934
Txn_8005489,Cake,3,3,9,Not Provided,In-Store,2023-08-12,TXN,8005489
Txn_6463132,Cookie,5,1,5,Credit Card,Takeaway,Date Not Recorded,TXN,6463132
Txn_3925836,Cookie,3,1,3,Digital Wallet,In-Store,2023-02-16,TXN,3925836
Txn_1896955,Salad,3,5,25,Not Provided,In-Store,2023-09-23,TXN,1896955
Txn_5075974,Smoothie,3,4,16,Digital Wallet,Not Provided,2023-04-11,TXN,5075974
Txn_3978874,Smoothie,5,4,20,Credit Card,In-Store,2023-03-13,TXN,3978874
Txn_8955912,Sandwich,1,4,4,Not Provided,Not Provided,2023-11-07,TXN,8955912
Txn_1136554,Smoothie,3,4,12,Not Provided,Takeaway,2023-03-26,TXN,1136554
Txn_8007337,Cake,2,3,6,Digital Wallet,Takeaway,2023-11-01,TXN,8007337
Txn_8129834,Salad,1,5,5,Cash,Not Provided,2023-07-22,TXN,8129834
Txn_3831848,Not Provided,1,4,4,Digital Wallet,Takeaway,2023-11-03,TXN,3831848
Txn_5365809,Cake,3,3,9,Cash,In-Store,2023-09-14,TXN,5365809
Txn_8166407,Smoothie,2,4,8,Not Provided,Not Provided,2023-07-26,TXN,8166407
Txn_6629480,Smoothie,5,4,20,Credit Card,In-Store,2023-02-28,TXN,6629480
Txn_3833797,Coffee,4,2,8,Not Provided,In-Store,2023-01-27,TXN,3833797
Txn_2643815,Cookie,3,1,3,Not Provided,Not Provided,2023-12-06,TXN,2643815
Txn_2996519,Cake,5,3,15,Cash,Not Provided,2023-01-19,TXN,2996519
Txn_8810894,Smoothie,1,4,4,Not Provided,Not Provided,2023-02-20,TXN,8810894
Txn_7412722,Juice,4,3,12,Cash,In-Store,2023-04-07,TXN,7412722
Txn_3937509,Smoothie,2,4,8,Not Provided,In-Store,2023-03-20,TXN,3937509
Txn_6000201,Cookie,3,1,3,Cash,Takeaway,2023-02-16,TXN,6000201
Txn_1714274,Cookie,4,1,4,Not Provided,In-Store,2023-12-27,TXN,1714274
Txn_3800182,Tea,2,1.5,3,Cash,In-Store,2023-10-26,TXN,3800182
Txn_5115080,Not Provided,5,3,15,Credit Card,Not Provided,2023-02-18,TXN,5115080
Txn_9788956,Juice,3,3,12,Not Provided,Not Provided,2023-04-11,TXN,9788956
Txn_6311602,Juice,3,3,9,Credit Card,Not Provided,2023-05-15,TXN,6311602
Txn_2950680,Coffee,2,2,4,Credit Card,Takeaway,2023-12-10,TXN,2950680
Txn_6749847,Cake,2,3,6,Credit Card,Not Provided,2023-08-15,TXN,6749847
Txn_2143187,Smoothie,1,4,4,Not Provided,In-Store,2023-04-21,TXN,2143187
Txn_8964522,Not Provided,3,3,9,Credit Card,Takeaway,2023-10-28,TXN,8964522
Txn_4088917,Coffee,3,2,6,Cash,Takeaway,2023-02-04,TXN,4088917
Txn_3779366,Cookie,1,1,1,Digital Wallet,In-Store,2023-04-15,TXN,3779366
Txn_7724048,Smoothie,1,4,4,Not Provided,In-Store,2023-11-12,TXN,7724048
Txn_2698591,Tea,5,1.5,7.5,Not Provided,Not Provided,2023-08-05,TXN,2698591
Txn_3171373,Smoothie,3,4,12,Credit Card,In-Store,2023-05-10,TXN,3171373
Txn_4129248,Sandwich,2,4,8,Credit Card,Not Provided,Date Not Recorded,TXN,4129248
Txn_6498163,Smoothie,5,4,20,Not Provided,In-Store,2023-07-15,TXN,6498163
Txn_6717827,Not Provided,3,5,15,Digital Wallet,Not Provided,2023-11-15,TXN,6717827
Txn_9089898,Salad,3,5,15,Credit Card,Not Provided,2023-01-11,TXN,9089898
Txn_8587583,Cake,1,3,3,Not Provided,Not Provided,2023-10-01,TXN,8587583
Txn_8693704,Salad,3,5,25,Cash,In-Store,2023-05-04,TXN,8693704
Txn_3857960,Salad,4,5,20,Cash,In-Store,2023-04-26,TXN,3857960
Txn_3499124,Not Provided,4,4,16,Credit Card,Not Provided,2023-08-25,TXN,3499124
Txn_9250710,Salad,1,5,5,Cash,In-Store,2023-05-28,TXN,9250710
Txn_7058377,Juice,1,3,3,Not Provided,Takeaway,2023-04-30,TXN,7058377
Txn_6766492,Salad,1,5,5,Not Provided,Not Provided,2023-01-14,TXN,6766492
Txn_9879996,Coffee,4,2,8,Digital Wallet,In-Store,2023-03-01,TXN,9879996
Txn_4291940,Cake,3,3,9,Credit Card,In-Store,2023-11-13,TXN,4291940
Txn_7433461,Cookie,2,1,2,Digital Wallet,Not Provided,2023-07-09,TXN,7433461
Txn_4068262,Salad,2,5,10,Credit Card,Not Provided,2023-05-13,TXN,4068262
Txn_5761073,Cookie,1,1,1,Cash,In-Store,Date Not Recorded,TXN,5761073
Txn_5047447,Salad,1,5,5,Digital Wallet,Takeaway,2023-12-27,TXN,5047447
Txn_6623508,Cookie,5,1,5,Digital Wallet,Takeaway,2023-05-18,TXN,6623508
Txn_2651216,Not Provided,3,4,12,Not Provided,Not Provided,2023-04-04,TXN,2651216
Txn_9350833,Cake,1,3,3,Cash,Takeaway,2023-01-17,TXN,9350833
Txn_8377564,Cake,5,3,15,Not Provided,In-Store,2023-07-14,TXN,8377564
Txn_7031118,Salad,1,5,5,Credit Card,Not Provided,2023-03-29,TXN,7031118
Txn_2230167,Cake,4,3,12,Digital Wallet,Takeaway,2023-09-22,TXN,2230167
Txn_6446616,Tea,3,1.5,4.5,Not Provided,Not Provided,2023-09-30,TXN,6446616
Txn_1721827,Cake,4,3,12,Digital Wallet,Not Provided,2023-08-22,TXN,1721827
Txn_6334895,Smoothie,1,4,4,Credit Card,Not Provided,2023-07-27,TXN,6334895
Txn_7077119,Not Provided,1,4,4,Digital Wallet,In-Store,2023-12-30,TXN,7077119
Txn_8562645,Salad,3,5,,Not Provided,In-Store,2023-05-18,TXN,8562645
Txn_4700144,Coffee,4,2,8,Not Provided,In-Store,2023-12-21,TXN,4700144
Txn_5526852,Sandwich,5,4,20,Digital Wallet,In-Store,2023-09-28,TXN,5526852
Txn_6846228,Salad,3,5,15,Not Provided,In-Store,2023-11-16,TXN,6846228
Txn_8570890,Juice,4,3,12,Not Provided,Not Provided,2023-04-14,TXN,8570890
Txn_3205009,Not Provided,2,1.5,3,Cash,In-Store,2023-01-03,TXN,3205009
Txn_3786188,Tea,3,1.5,4.5,Credit Card,In-Store,2023-10-20,TXN,3786188
Txn_4530804,Coffee,4,2,8,Not Provided,Not Provided,2023-01-12,TXN,4530804
Txn_9642066,Sandwich,3,4,12,Credit Card,In-Store,2023-08-31,TXN,9642066
Txn_7328294,Juice,2,3,6,Cash,Not Provided,2023-07-07,TXN,7328294
Txn_1908636,Tea,2,1.5,3,Not Provided,Not Provided,Date Not Recorded,TXN,1908636
Txn_9238066,Not Provided,5,1.5,7.5,Digital Wallet,In-Store,2023-09-15,TXN,9238066
Txn_5415901,Cake,2,3,6,Digital Wallet,Not Provided,2023-10-21,TXN,5415901
Txn_6714420,Not Provided,2,3,6,Credit Card,Takeaway,2023-03-30,TXN,6714420
Txn_6616971,Juice,2,3,6,Digital Wallet,Takeaway,2023-09-02,TXN,6616971
Txn_7803615,Salad,3,5,15,Cash,In-Store,2023-12-13,TXN,7803615
Txn_7549542,Cookie,5,1,5,Not Provided,Takeaway,Date Not Recorded,TXN,7549542
Txn_3544789,Tea,4,1.5,,Not Provided,In-Store,2023-07-14,TXN,3544789
Txn_1583597,Salad,1,5,5,Cash,In-Store,2023-05-10,TXN,1583597
Txn_8472308,Cookie,2,1,2,Digital Wallet,Takeaway,2023-08-19,TXN,8472308
Txn_1967565,Smoothie,5,4,20,Credit Card,Takeaway,2023-03-31,TXN,1967565
Txn_2029497,Sandwich,2,4,8,Cash,Takeaway,2023-01-06,TXN,2029497
Txn_8929774,Not Provided,3,3,9,Cash,Not Provided,2023-10-02,TXN,8929774
Txn_5003018,Cookie,4,1,,Digital Wallet,Not Provided,Date Not Recorded,TXN,5003018
Txn_7852990,Sandwich,5,4,20,Digital Wallet,Takeaway,2023-07-10,TXN,7852990
Txn_2534066,Salad,2,5,10,Cash,Not Provided,2023-10-13,TXN,2534066
Txn_2059647,Tea,1,1.5,1.5,Digital Wallet,In-Store,2023-05-29,TXN,2059647
Txn_2485183,Smoothie,5,4,20,Cash,In-Store,2023-07-07,TXN,2485183
Txn_7374846,Sandwich,1,4,4,Credit Card,Not Provided,2023-05-29,TXN,7374846
Txn_9401522,Sandwich,4,4,16,Digital Wallet,In-Store,2023-11-16,TXN,9401522
Txn_8250651,Sandwich,4,4,16,Digital Wallet,In-Store,2023-03-13,TXN,8250651
Txn_7191245,Cake,4,3,12,Not Provided,Takeaway,2023-05-22,TXN,7191245
Txn_8982764,Cake,5,3,15,Digital Wallet,Takeaway,2023-11-23,TXN,8982764
Txn_8669422,Not Provided,4,3,12,Cash,Takeaway,2023-10-15,TXN,8669422
Txn_1153869,Smoothie,5,4,20,Credit Card,Takeaway,2023-11-03,TXN,1153869
Txn_5043774,Sandwich,3,4,12,Cash,Not Provided,2023-06-08,TXN,5043774
Txn_1746320,Salad,1,5,5,Cash,Not Provided,2023-11-14,TXN,1746320
Txn_1077129,Cookie,1,1,1,Not Provided,In-Store,2023-09-12,TXN,1077129
Txn_4865338,Sandwich,3,4,16,Not Provided,In-Store,2023-11-26,TXN,4865338
Txn_5616583,Smoothie,1,4,4,Not Provided,Not Provided,2023-10-13,TXN,5616583
Txn_2078474,Cookie,2,1,2,Not Provided,Takeaway,2023-11-03,TXN,2078474
Txn_2130245,Smoothie,5,4,20,Credit Card,Not Provided,2023-11-13,TXN,2130245
Txn_3229409,Juice,3,3,,Cash,Takeaway,2023-04-15,TXN,3229409
Txn_9076216,Cake,1,3,3,Cash,Not Provided,2023-12-17,TXN,9076216
Txn_6371987,Tea,5,1.5,,Not Provided,Takeaway,2023-03-13,TXN,6371987
Txn_9913877,Not Provided,2,2,4,Credit Card,Not Provided,2023-05-09,TXN,9913877
Txn_2084377,Smoothie,1,4,4,Credit Card,Not Provided,2023-10-22,TXN,2084377
Txn_1842675,Not Provided,4,1,4,Credit Card,Takeaway,2023-06-23,TXN,1842675
Txn_8605813,Cookie,1,1,1,Not Provided,Not Provided,2023-06-30,TXN,8605813
Txn_9755352,Sandwich,5,4,20,Not Provided,In-Store,2023-05-13,TXN,9755352
Txn_7550498,Juice,5,3,15,Not Provided,In-Store,Date Not Recorded,TXN,7550498
Txn_2305908,Coffee,3,2,8,Cash,Not Provided,2023-04-25,TXN,2305908
Txn_6953697,Not Provided,3,4,12,Not Provided,Takeaway,2023-05-27,TXN,6953697
Txn_3495950,Not Provided,4,3,6,Credit Card,In-Store,2023-02-19,TXN,3495950
Txn_7557340,Tea,5,1.5,7.5,Credit Card,In-Store,2023-12-11,TXN,7557340
Txn_1157817,Smoothie,1,4,4,Digital Wallet,In-Store,2023-04-25,TXN,1157817
Txn_2020318,Tea,3,1.5,4.5,Digital Wallet,In-Store,2023-10-12,TXN,2020318
Txn_8692094,Coffee,5,2,10,Not Provided,Takeaway,2023-08-30,TXN,8692094
Txn_5307411,Cake,3,3,,Digital Wallet,Takeaway,2023-10-21,TXN,5307411
Txn_9703120,Coffee,3,2,6,Credit Card,Not Provided,2023-11-02,TXN,9703120
Txn_1289133,Juice,1,3,3,Cash,Not Provided,2023-09-19,TXN,1289133
Txn_2031459,Cake,3,3,9,Cash,Takeaway,2023-07-04,TXN,2031459
Txn_1333682,Smoothie,1,4,4,Digital Wallet,Not Provided,2023-01-28,TXN,1333682
Txn_2256622,Cookie,2,1,2,Cash,In-Store,2023-10-04,TXN,2256622
Txn_1623966,Tea,2,1.5,3,Cash,Takeaway,Date Not Recorded,TXN,1623966
Txn_4912930,Smoothie,3,4,12,Credit Card,In-Store,2023-02-26,TXN,4912930
Txn_4942692,Coffee,2,2,4,Not Provided,Takeaway,2023-01-15,TXN,4942692
